date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_agg.us,w_ief.us,w_lqd.us,w_shy.us,w_spy.us,w_vea.us,w_vwo.us
2007-08-01,0.019746700440127385,0.015746700440127385,1.0,4,True,0.004,0.996,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25
2007-09-01,0.05317626670266691,0.05117626670266691,0.4999999999999999,4,True,0.0019999999999999996,1.0163848899270842,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2007-10-01,0.013630480299388181,0.013630480299388181,0.0,0,False,0.0,1.0682915790185947,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2007-11-01,-0.01849028457209563,-0.01849028457209563,0.0,0,False,0.0,1.0828529063404102,-0.020311138899228642,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2007-12-01,-0.018623478936801347,-0.018623478936801347,0.0,0,False,0.0,1.0639501586606634,-0.037413010480875086,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2008-01-01,-0.0298158627042829,-0.0298158627042829,0.0,0,False,0.0,1.037645682528715,-0.061211443409917576,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2008-02-01,-0.01035557328043521,-0.01235557328043521,0.4999999999999999,4,True,0.0019999999999999996,1.0046939665601016,-0.09102382965331612,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2008-03-01,0.0001539897550663829,-0.0018460102449336167,0.4999999999999999,4,True,0.0019999999999999996,0.9987747884282674,-0.09637908413772,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2008-04-01,-0.018763789489535165,-0.022763789489535165,0.9999999999999999,4,True,0.003999999999999999,0.9929430094049397,-0.10165526607905484,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,-0.009751212677770422,-0.013751212677770422,0.9999999999999999,4,True,0.003999999999999999,0.9704143892581542,-0.12203757108515867,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2008-06-01,-0.03385030530765215,-0.03585030530765215,0.4999999999999999,4,True,0.0019999999999999996,0.9662584215541863,-0.1257975972556864,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25
2008-07-01,0.0016289369294739675,-0.00037106307052603253,0.5,3,True,0.002,0.9298198120636889,-0.15876467858576948,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-08-01,0.01692770984387182,0.012927709843871819,1.0,2,True,0.004,0.9276090921737427,-0.16076478186712262,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,-0.03287718972477599,-0.03487718972477599,0.5,3,True,0.002,0.9413567788154809,-0.14832684556944709,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2008-10-01,0.005798635646045547,0.0017986356460455467,1.0,4,True,0.004,0.9049524509801697,-0.1812629112781753,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-11-01,0.007547652719179121,0.007547652719179121,0.0,0,False,0.0,0.912142046501993,-0.17475827282976908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-12-01,0.05284032094841179,0.048840320948411786,1.0,4,True,0.004,0.9153504715879532,-0.17185551632425777,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2009-01-01,-0.051421949458823085,-0.05442194945882309,0.75,4,True,0.003,0.9644061834290047,-0.12747337154480853,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0
2009-02-01,-0.04247147224441125,-0.045471472244411254,0.75,4,True,0.003,0.9194124099677378,-0.16818056124785552,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2009-03-01,0.022508905287974112,0.02050890528797411,0.5,3,True,0.002,0.8836255654818009,-0.20055797161590438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.08518489871880777,0.08118489871880777,1.0,5,True,0.004,0.8981011477074697,-0.18746148678273922,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2009-05-01,0.10473551562063899,0.10473551562063899,0.0,0,False,0.0,0.9746058030141757,-0.11824547582919609,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2009-06-01,-0.0033049423802396782,-0.005304942380239678,0.5,3,True,0.002,1.074528281031093,-0.027842672167156857,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25
2009-07-01,0.08300892196760895,0.08100892196760895,0.5,3,True,0.002,1.0688350729223943,-0.03299348492793208,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2009-08-01,-0.014597847935925251,-0.014597847935925251,0.0,0,False,0.0,1.1355106878934245,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2009-09-01,0.04111374989662242,0.04111374989662242,0.0,0,False,0.0,1.1189346755419383,-0.02437482660463064,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2009-10-01,0.009872483727631859,0.009872483727631859,0.0,0,False,0.0,1.164938275942828,-0.02943202523638322,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2009-11-01,0.052839655014851494,0.052839655014851494,0.0,0,False,0.0,1.1669891016409135,-0.054030253264471306,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2009-12-01,0.0029052114346017066,0.0029052114346017066,0.0,0,False,0.0,1.2286524031777113,-0.00410951868831011,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-01-01,-0.02823984783123981,-0.030239847831239813,0.5,3,True,0.002,1.1758557315805143,-0.04690413053507725,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25
2010-02-01,0.007450729790438065,0.005450729790438065,0.5,3,True,0.002,1.1380837162695707,-0.07752043048357227,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-03-01,0.05205769024841039,0.05205769024841039,0.0,0,False,0.0,1.1465632705183928,-0.07064728447390578,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-04-01,0.007016200679372586,0.005016200679372586,0.5,3,True,0.002,1.2038382046930332,-0.024222794020174354,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25
2010-05-01,-0.08472247308012085,-0.08672247308012085,0.5,3,True,0.002,1.2089003563622422,-0.02011964112739295,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-06-01,0.005124956668029285,0.0031249566680292846,0.5,3,True,0.002,1.1020578370672522,-0.10672139089001553,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2010-07-01,0.03414870903826439,0.03314870903826439,0.25,2,True,0.001,1.1065981298921561,-0.10304123334912363,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25
2010-08-01,-0.019668976237718766,-0.021668976237718768,0.5,3,True,0.002,1.1408022147573422,-0.07531693764830838,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-09-01,0.05540093506144078,0.05540093506144078,0.0,0,False,0.0,1.116127075497136,-0.09531749781546694,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-10-01,0.021085407271942275,0.021085407271942275,0.0,0,False,0.0,1.1779615591270687,-0.04519724126071978,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-11-01,-0.00585831031859349,-0.00585831031859349,0.0,0,False,0.0,1.2027993583519547,-0.025064836228328335,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2010-12-01,0.021082460715395768,0.019082460715395766,0.5,3,True,0.002,1.1933614804868042,-0.038282547282681656,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25
2011-01-01,0.0011601482226961668,0.0011601482226961668,0.0,0,False,0.0,1.2054511503357177,-0.028539609638550956,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25
2011-02-01,-0.00011132048088616231,-0.0011113204808861623,0.25,2,True,0.001,1.2056428026929817,-0.028385159021659945,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0
2011-03-01,-0.0007432756778518179,-0.004743275677851818,1.0,4,True,0.004,1.200686555596583,-0.032379346374382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-04-01,0.02097984755561183,0.01897984755561183,0.5,3,True,0.002,1.1973945262541184,-0.03503235816106576,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25
2011-05-01,-0.026814501331706403,-0.028814501331706405,0.5,3,True,0.002,1.2220271622035395,-0.015181176196212398,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2011-06-01,0.012440483227038696,0.012440483227038696,0.0,0,False,0.0,1.1868805950087806,-0.043505424654871505,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2011-07-01,-0.02059028607720867,-0.02059028607720867,0.0,0,False,0.0,1.2016459631434848,-0.031606169933537154,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2011-08-01,0.0057871609478594155,0.0037871609478594154,0.5,3,True,0.002,1.1745499215408401,-0.05344258457814921,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25
2011-09-01,-0.00759485599794793,-0.008594855997947931,0.25,2,True,0.001,1.1801658837471147,-0.048916739764244266,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2011-10-01,0.022799655301028843,0.022799655301028843,0.0,0,False,0.0,1.1723983567064278,-0.0551765080252703,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2011-11-01,0.005648090290473168,0.0036480902904731678,0.5,3,True,0.002,1.1967303778445972,-0.03556758837175622,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2011-12-01,0.01642711231519317,0.01442711231519317,0.5,3,True,0.002,1.2010826398338714,-0.03206014625775766,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2012-01-01,0.02478083196223707,0.02278083196223707,0.5,2,True,0.002,1.2175492794479654,-0.018789854763163305,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0
2012-02-01,0.031122128407358868,0.029122128407358866,0.5,3,True,0.002,1.242735269778172,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-03-01,0.0023680770255190553,0.0023680770255190553,0.0,0,False,0.0,1.2814118364205618,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-04-01,-0.013437273806154365,-0.013437273806154365,0.0,0,False,0.0,1.274922565845467,-0.00642381848539797,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-05-01,0.0008282244885219059,-0.0011717755114780942,0.5,3,True,0.002,1.2552755000820632,-0.02173522413631579,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2012-06-01,0.013461965803589687,0.013461965803589687,0.0,0,False,0.0,1.2563151499910725,-0.020925001292687262,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2012-07-01,0.004476334497897694,0.0024763344978976937,0.5,3,True,0.002,1.268828160436375,-0.011173327371023611,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-08-01,0.005570607484643275,0.003570607484643275,0.5,3,True,0.002,1.2694149262954681,-0.010716047378230953,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0
2012-09-01,0.02552190485688649,0.02452190485688649,0.25,2,True,0.001,1.2784059064850137,-0.003709171820358903,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
2012-10-01,0.0002230277643122669,-0.0017769722356877331,0.5,3,True,0.002,1.30710278268413,-0.005501902268307601,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-11-01,0.0018220241202245024,0.0018220241202245024,0.0,0,False,0.0,1.3073943028954784,-0.012239636361681239,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2012-12-01,0.04158499895721385,0.04158499895721385,0.0,0,False,0.0,1.3116457419565082,-0.009027596211583777,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-01-01,0.01116849686283028,0.01116849686283028,0.0,0,False,0.0,1.3209036048584093,-0.017850236482293447,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-02-01,-0.0034030839170876015,-0.0054030839170876015,0.5,3,True,0.002,1.3329848004001208,-0.00886733772975723,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0
2013-03-01,0.006174195962023676,0.004174195962023676,0.5,2,True,0.002,1.3257916441816286,-0.01421576486172449,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
2013-04-01,0.02600207931778825,0.02400207931778825,0.5,2,True,0.002,1.331309386914424,-0.010113081138071967,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0
2013-05-01,-0.005683799403224388,-0.007683799403224388,0.5,3,True,0.002,1.3631943467911103,-0.004535801843406739,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-06-01,-0.0008252014218462778,-0.004825201421846278,1.0,5,True,0.004,1.345943381572885,-0.03596976899471105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-07-01,0.000762058912131991,0.000762058912131991,0.0,0,False,0.0,1.3394533763519632,-0.04061822695959161,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-08-01,-0.0009272947355933869,-0.0009272947355933869,0.0,0,False,0.0,1.3404741187347975,-0.03988712152930918,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-09-01,0.0023031531750066225,0.0023031531750066225,0.0,0,False,0.0,1.3405920939850748,-0.03980262190671369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-10-01,0.02280658902740229,0.01880658902740229,1.0,5,True,0.004,1.3383049641910345,-0.041440775705658184,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-11-01,-0.0006511472254225603,-0.0006511472254225603,0.0,0,False,0.0,1.3688271355026715,-0.019579309418751745,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2013-12-01,-0.0007098658633392096,-0.00470986586333921,1.0,5,True,0.004,1.3796065672753877,-0.011858555155066841,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-01-01,0.023462607224839838,0.019462607224839838,1.0,2,True,0.004,1.3627002467948193,-0.023967685644111336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-02-01,0.020012520625437957,0.018012520625437956,0.5,3,True,0.002,1.3801393435971074,-0.01147695479391242,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0
2014-03-01,0.029102683949171648,0.027102683949171646,0.5,3,True,0.002,1.404659194947073,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-04-01,0.0058550545191605186,0.0058550545191605186,0.0,0,False,0.0,1.4426474704588077,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-05-01,0.020706690566449193,0.020706690566449193,0.0,0,False,0.0,1.4510942500502733,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-06-01,0.02024700234094806,0.02024700234094806,0.0,0,False,0.0,1.479332682232074,-0.0026834984483479207,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-07-01,-0.011943209429859603,-0.011943209429859603,0.0,0,False,0.0,1.509284734512268,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-08-01,0.0225542805550904,0.0225542805550904,0.0,0,False,0.0,1.4912590308386984,-0.020345511670805227,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-09-01,-0.04244616614532573,-0.04244616614532573,0.0,0,False,0.0,1.5251669694738195,-0.0028900825591758883,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-10-01,0.013784054366000387,0.011784054366000387,0.5,3,True,0.002,1.4575086199303944,-0.050448662549854695,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2014-11-01,0.0023340069356607984,0.0003340069356607984,0.5,3,True,0.002,1.478391984556422,-0.03684337298933704,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-12-01,0.006934062627680204,0.004934062627680204,0.5,3,True,0.002,1.4759211188254406,-0.038453115688234396,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-01-01,0.018268869633870033,0.018268869633870033,0.0,0,False,0.0,1.459039972052107,-0.049451002957729084,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-02-01,0.028124336216271223,0.02612433621627122,0.5,3,True,0.002,1.4823173224803807,-0.034286057152798866,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2015-03-01,-0.006366246045259288,-0.008366246045259288,0.5,3,True,0.002,1.5203251367852932,-0.009524371071992,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0
2015-04-01,0.030458690264615035,0.028458690264615033,0.5,3,True,0.002,1.504609829989634,-0.01976272601700102,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2015-05-01,-0.013164036080784008,-0.015164036080784008,0.5,3,True,0.002,1.5473373982208425,-0.011296442516031568,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25
2015-06-01,-0.016636865346774554,-0.020636865346774554,1.0,4,True,0.004,1.5208603201099906,-0.028214524732670276,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.001646679972916898,-0.002353320027083102,1.0,2,True,0.004,1.489575739866056,-0.0482044608753216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-08-01,-0.020680418372621967,-0.024680418372621967,1.0,4,True,0.004,1.4915421554114718,-0.04694797858032895,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-09-01,0.012341228653527825,0.010341228653527825,0.5,3,True,0.002,1.4519439465509745,-0.07225008141542066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.01791357236795607,0.01591357236795607,0.5,3,True,0.002,1.4669229933498904,-0.06267890652180297,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-11-01,0.002413088552282866,-0.0005869114477171341,0.75,4,True,0.003,1.4914780220035904,-0.046988957961166644,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
2015-12-01,-0.018786359301576017,-0.02078635930157602,0.5,3,True,0.002,1.4876106755542893,-0.049460079771344256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-01,0.004680758159145926,0.0006807581591459257,1.0,2,True,0.004,1.4601419536296312,-0.06701179352018438,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-01,0.012166982193567766,0.008166982193567766,1.0,4,True,0.004,1.4552641844170535,-0.07012854606465624,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2016-03-01,0.04585245576718666,0.04385245576718666,0.5,3,True,0.002,1.4700244171201209,-0.06069718700903348,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-04-01,0.013954990559088498,0.013954990559088498,0.0,0,False,0.0,1.5374286466828053,-0.01762784632437142,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-05-01,-0.007809912419196291,-0.007809912419196291,0.0,0,False,0.0,1.5536534460369589,-0.01568965067479622,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-06-01,0.024210066313427536,0.022210066313427534,0.5,3,True,0.002,1.538436509596241,-0.025330274239741657,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0
2016-07-01,0.026823865486818366,0.024823865486818364,0.5,3,True,0.002,1.5725307951935388,-0.0037299886343047373,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-08-01,0.009731475688270874,0.009731475688270874,0.0,0,False,0.0,1.6147121497176904,-0.003323264311246299,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-09-01,0.005882550341190923,0.005882550341190923,0.0,0,False,0.0,1.630425681746223,-0.010884713467729235,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-10-01,-0.016364008107257744,-0.016364008107257744,0.0,0,False,0.0,1.6395330720898502,-0.009509057690018974,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
